i 	 t 	 J_r 	 J_theta 	 J_phi 	 Omega_r 	 Omega_theta 	 Omega_phi 	 dt 
------------
0 	1.000000 	1.174075 	5.284375 	0.612617 	0.002996 	0.003315 	0.003349 	0.010830 
1 	9140.876632 	1.171216e+00 	5.278238e+00 	6.064511e-01 	3.015645e-03 	3.338781e-03 	3.373128e-03 	9.139877e+03 
2 	18061.730671 	1.168391e+00 	5.272160e+00 	6.003440e-01 	3.035729e-03 	3.362841e-03 	3.397681e-03 	8.920854e+03 
3 	26769.853885 	1.165600e+00 	5.266144e+00 	5.942987e-01 	3.055781e-03 	3.386886e-03 	3.422224e-03 	8.708123e+03 
4 	35271.425764 	1.162844e+00 	5.260189e+00 	5.883147e-01 	3.075798e-03 	3.410916e-03 	3.446755e-03 	8.501572e+03 
5 	43572.419295 	1.160120e+00 	5.254294e+00 	5.823913e-01 	3.095779e-03 	3.434929e-03 	3.471271e-03 	8.300994e+03 
6 	51678.608331 	1.157430e+00 	5.248460e+00 	5.765280e-01 	3.115723e-03 	3.458922e-03 	3.495772e-03 	8.106189e+03 
7 	59595.574983 	1.154772e+00 	5.242685e+00 	5.707240e-01 	3.135629e-03 	3.482894e-03 	3.520254e-03 	7.916967e+03 
8 	67328.716703 	1.152147e+00 	5.236968e+00 	5.649788e-01 	3.155495e-03 	3.506844e-03 	3.544718e-03 	7.733142e+03 
9 	74883.253088 	1.149554e+00 	5.231310e+00 	5.592918e-01 	3.175320e-03 	3.530769e-03 	3.569160e-03 	7.554536e+03 
10 	82264.232409 	1.146992e+00 	5.225710e+00 	5.536624e-01 	3.195102e-03 	3.554669e-03 	3.593579e-03 	7.380979e+03 
11 	89476.537881 	1.144462e+00 	5.220166e+00 	5.480900e-01 	3.214841e-03 	3.578541e-03 	3.617973e-03 	7.212305e+03 
12 	96524.893675 	1.141963e+00 	5.214679e+00 	5.425741e-01 	3.234534e-03 	3.602384e-03 	3.642341e-03 	7.048356e+03 
13 	103413.870701 	1.139494e+00 	5.209248e+00 	5.371139e-01 	3.254181e-03 	3.626196e-03 	3.666681e-03 	6.888977e+03 
14 	110147.892157 	1.137056e+00 	5.203871e+00 	5.317091e-01 	3.273781e-03 	3.649975e-03 	3.690992e-03 	6.734021e+03 
15 	116731.238855 	1.134647e+00 	5.198550e+00 	5.263589e-01 	3.293332e-03 	3.673720e-03 	3.715271e-03 	6.583347e+03 
16 	123168.054343 	1.132268e+00 	5.193283e+00 	5.210629e-01 	3.312833e-03 	3.697430e-03 	3.739517e-03 	6.436815e+03 
17 	129462.349826 	1.129919e+00 	5.188069e+00 	5.158205e-01 	3.332283e-03 	3.721103e-03 	3.763729e-03 	6.294295e+03 
18 	135618.008885 	1.127598e+00 	5.182908e+00 	5.106311e-01 	3.351681e-03 	3.744736e-03 	3.787905e-03 	6.155659e+03 
19 	141638.792024 	1.125306e+00 	5.177800e+00 	5.054943e-01 	3.371025e-03 	3.768330e-03 	3.812043e-03 	6.020783e+03 
20 	147528.341034 	1.123042e+00 	5.172743e+00 	5.004094e-01 	3.390315e-03 	3.791881e-03 	3.836142e-03 	5.889549e+03 
21 	153290.183187 	1.120806e+00 	5.167738e+00 	4.953759e-01 	3.409549e-03 	3.815390e-03 	3.860200e-03 	5.761842e+03 
22 	158927.735267 	1.118598e+00 	5.162784e+00 	4.903934e-01 	3.428726e-03 	3.838853e-03 	3.884215e-03 	5.637552e+03 
23 	164444.307452 	1.116417e+00 	5.157880e+00 	4.854612e-01 	3.447845e-03 	3.862271e-03 	3.908187e-03 	5.516572e+03 
24 	169843.107041 	1.114263e+00 	5.153026e+00 	4.805790e-01 	3.466906e-03 	3.885640e-03 	3.932114e-03 	5.398800e+03 
25 	175127.242036 	1.112136e+00 	5.148222e+00 	4.757461e-01 	3.485906e-03 	3.908961e-03 	3.955993e-03 	5.284135e+03 
26 	180299.724597 	1.110035e+00 	5.143466e+00 	4.709620e-01 	3.504846e-03 	3.932231e-03 	3.979825e-03 	5.172483e+03 
27 	185363.474355 	1.107961e+00 	5.138758e+00 	4.662264e-01 	3.523723e-03 	3.955449e-03 	4.003606e-03 	5.063750e+03 
28 	190321.321605 	1.105912e+00 	5.134099e+00 	4.615386e-01 	3.542538e-03 	3.978614e-03 	4.027337e-03 	4.957847e+03 
29 	195176.010377 	1.103889e+00 	5.129486e+00 	4.568982e-01 	3.561289e-03 	4.001724e-03 	4.051015e-03 	4.854689e+03 
30 	199930.201391 	1.101891e+00 	5.124921e+00 	4.523046e-01 	3.579975e-03 	4.024779e-03 	4.074639e-03 	4.754191e+03 
31 	204586.474901 	1.099918e+00 	5.120402e+00 	4.477576e-01 	3.598595e-03 	4.047776e-03 	4.098208e-03 	4.656274e+03 
32 	209147.333433 	1.097969e+00 	5.115928e+00 	4.432564e-01 	3.617148e-03 	4.070715e-03 	4.121721e-03 	4.560859e+03 
33 	213615.204419 	1.096045e+00 	5.111500e+00 	4.388008e-01 	3.635635e-03 	4.093593e-03 	4.145175e-03 	4.467871e+03 
34 	217992.442735 	1.094145e+00 	5.107117e+00 	4.343901e-01 	3.654052e-03 	4.116411e-03 	4.168570e-03 	4.377238e+03 
35 	222281.333144 	1.092269e+00 	5.102779e+00 	4.300240e-01 	3.672401e-03 	4.139167e-03 	4.191905e-03 	4.288890e+03 
36 	226484.092647 	1.090417e+00 	5.098485e+00 	4.257020e-01 	3.690679e-03 	4.161859e-03 	4.215177e-03 	4.202760e+03 
37 	230602.872751 	1.088588e+00 	5.094234e+00 	4.214237e-01 	3.708887e-03 	4.184486e-03 	4.238387e-03 	4.118780e+03 
38 	234639.761651 	1.086781e+00 	5.090026e+00 	4.171886e-01 	3.727023e-03 	4.207047e-03 	4.261533e-03 	4.036889e+03 
39 	238596.786329 	1.084998e+00 	5.085861e+00 	4.129963e-01 	3.745086e-03 	4.229542e-03 	4.284613e-03 	3.957025e+03 
40 	242475.914587 	1.083237e+00 	5.081739e+00 	4.088462e-01 	3.763077e-03 	4.251968e-03 	4.307626e-03 	3.879128e+03 
41 	246279.056990 	1.081498e+00 	5.077658e+00 	4.047381e-01 	3.780993e-03 	4.274325e-03 	4.330572e-03 	3.803142e+03 
42 	250008.068755 	1.079781e+00 	5.073618e+00 	4.006715e-01 	3.798835e-03 	4.296612e-03 	4.353448e-03 	3.729012e+03 
43 	253664.751558 	1.078086e+00 	5.069620e+00 	3.966459e-01 	3.816602e-03 	4.318827e-03 	4.376254e-03 	3.656683e+03 
44 	257250.855284 	1.076412e+00 	5.065662e+00 	3.926610e-01 	3.834292e-03 	4.340970e-03 	4.398990e-03 	3.586104e+03 
45 	260768.079715 	1.074760e+00 	5.061744e+00 	3.887162e-01 	3.851906e-03 	4.363039e-03 	4.421652e-03 	3.517224e+03 
46 	264218.076146 	1.073128e+00 	5.057866e+00 	3.848113e-01 	3.869443e-03 	4.385033e-03 	4.444242e-03 	3.449996e+03 
47 	267602.448957 	1.071518e+00 	5.054027e+00 	3.809458e-01 	3.886902e-03 	4.406953e-03 	4.466757e-03 	3.384373e+03 
48 	270922.757126 	1.069927e+00 	5.050227e+00 	3.771193e-01 	3.904283e-03 	4.428795e-03 	4.489196e-03 	3.320308e+03 
49 	274180.515678 	1.068357e+00 	5.046466e+00 	3.733314e-01 	3.921584e-03 	4.450560e-03 	4.511559e-03 	3.257759e+03 
50 	277377.197097 	1.066807e+00 	5.042743e+00 	3.695818e-01 	3.938806e-03 	4.472247e-03 	4.533845e-03 	3.196681e+03 
51 	280514.232680 	1.065277e+00 	5.039058e+00 	3.658699e-01 	3.955948e-03 	4.493855e-03 	4.556052e-03 	3.137036e+03 
