i 	 t 	 J_r 	 J_theta 	 J_phi 	 Omega_r 	 Omega_theta 	 Omega_phi 	 dt 
------------
0 	1.000000 	2.304514 	3.090032 	1.676521 	0.003179 	0.003722 	0.003802 	0.010830 
1 	42640.985455 	2.315781e+00 	3.072938e+00 	1.659394e+00 	3.217016e-03 	3.779345e-03 	3.862616e-03 	4.263999e+04 
2 	82636.211786 	2.326614e+00 	3.055910e+00 	1.642335e+00 	3.256587e-03 	3.838511e-03 	3.925503e-03 	3.999523e+04 
3 	120069.053340 	2.336938e+00 	3.039036e+00 	1.625434e+00 	3.297156e-03 	3.899561e-03 	3.990473e-03 	3.743284e+04 
4 	155045.203676 	2.346724e+00 	3.022321e+00 	1.608694e+00 	3.338789e-03 	3.962612e-03 	4.057657e-03 	3.497615e+04 
5 	187677.181838 	2.355949e+00 	3.005762e+00 	1.592115e+00 	3.381553e-03 	4.027793e-03 	4.127199e-03 	3.263198e+04 
6 	218081.808542 	2.364595e+00 	2.989361e+00 	1.575698e+00 	3.425510e-03 	4.095229e-03 	4.199238e-03 	3.040463e+04 
7 	246378.294194 	2.372651e+00 	2.973116e+00 	1.559442e+00 	3.470718e-03 	4.165044e-03 	4.273917e-03 	2.829649e+04 
8 	272686.550538 	2.380111e+00 	2.957029e+00 	1.543346e+00 	3.517231e-03 	4.237364e-03 	4.351379e-03 	2.630826e+04 
9 	297125.737863 	2.386971e+00 	2.941097e+00 	1.527411e+00 	3.565099e-03 	4.312315e-03 	4.431770e-03 	2.443919e+04 
10 	319813.054875 	2.393233e+00 	2.925320e+00 	1.511636e+00 	3.614371e-03 	4.390024e-03 	4.515238e-03 	2.268732e+04 
11 	340862.763873 	2.398901e+00 	2.909698e+00 	1.496021e+00 	3.665092e-03 	4.470625e-03 	4.601938e-03 	2.104971e+04 
12 	360385.434949 	2.403980e+00 	2.894231e+00 	1.480565e+00 	3.717308e-03 	4.554254e-03 	4.692033e-03 	1.952267e+04 
13 	378487.387132 	2.408478e+00 	2.878916e+00 	1.465268e+00 	3.771061e-03 	4.641055e-03 	4.785692e-03 	1.810195e+04 
14 	395270.301955 	2.412404e+00 	2.863754e+00 	1.450128e+00 	3.826397e-03 	4.731178e-03 	4.883095e-03 	1.678291e+04 
15 	410830.984612 	2.415768e+00 	2.848744e+00 	1.435147e+00 	3.883358e-03 	4.824785e-03 	4.984435e-03 	1.556068e+04 
