i 	 t 	 J_r 	 J_theta 	 J_phi 	 Omega_r 	 Omega_theta 	 Omega_phi 	 dt 
------------
0 	1.000000 	1.263648 	11.894928 	4.161932 	0.000194 	0.000196 	0.000196 	0 
1 	10024511.264375 	1.250875e+00 	1.186852e+01 	4.135521e+00 	1.957938e-04 	1.980842e-04 	1.981718e-04 	1.002451e+07 
2 	19704568.920946 	1.238211e+00 	1.184227e+01 	4.109270e+00 	1.980341e-04 	2.003664e-04 	2.004558e-04 	9.680058e+06 
3 	29052941.455234 	1.225676e+00 	1.181622e+01 	4.083215e+00 	2.002902e-04 	2.026650e-04 	2.027564e-04 	9.348373e+06 
4 	38082392.829341 	1.213269e+00 	1.179036e+01 	4.057357e+00 	2.025622e-04 	2.049800e-04 	2.050734e-04 	9.029451e+06 
5 	46805153.772143 	1.200989e+00 	1.176470e+01 	4.031693e+00 	2.048500e-04 	2.073115e-04 	2.074069e-04 	8.722761e+06 
6 	55232941.234298 	1.188833e+00 	1.173923e+01 	4.006221e+00 	2.071536e-04 	2.096594e-04 	2.097568e-04 	8.427787e+06 
7 	63376981.596172 	1.176802e+00 	1.171395e+01 	3.980940e+00 	2.094731e-04 	2.120238e-04 	2.121232e-04 	8.144040e+06 
8 	71248032.799520 	1.164893e+00 	1.168885e+01 	3.955846e+00 	2.118085e-04 	2.144046e-04 	2.145061e-04 	7.871051e+06 
9 	78856405.416290 	1.153106e+00 	1.166395e+01 	3.930939e+00 	2.141596e-04 	2.168019e-04 	2.169055e-04 	7.608373e+06 
10 	86211982.708043 	1.141439e+00 	1.163923e+01 	3.906215e+00 	2.165266e-04 	2.192156e-04 	2.193214e-04 	7.355577e+06 
11 	93324239.727063 	1.129890e+00 	1.161469e+01 	3.881675e+00 	2.189095e-04 	2.216458e-04 	2.217538e-04 	7.112257e+06 
12 	100202261.507490 	1.118460e+00 	1.159033e+01 	3.857315e+00 	2.213082e-04 	2.240925e-04 	2.242028e-04 	6.878022e+06 
13 	106854760.392294 	1.107146e+00 	1.156615e+01 	3.833134e+00 	2.237227e-04 	2.265556e-04 	2.266682e-04 	6.652499e+06 
14 	113290092.539429 	1.095947e+00 	1.154215e+01 	3.809129e+00 	2.261531e-04 	2.290353e-04 	2.291502e-04 	6.435332e+06 
15 	119516273.648316 	1.084862e+00 	1.151832e+01 	3.785300e+00 	2.285994e-04 	2.315314e-04 	2.316486e-04 	6.226181e+06 
16 	125540993.945484 	1.073890e+00 	1.149467e+01 	3.761644e+00 	2.310614e-04 	2.340440e-04 	2.341636e-04 	6.024720e+06 
17 	131371632.466396 	1.063030e+00 	1.147118e+01 	3.738160e+00 	2.335393e-04 	2.365731e-04 	2.366952e-04 	5.830639e+06 
18 	137015270.668295 	1.052281e+00 	1.144787e+01 	3.714846e+00 	2.360331e-04 	2.391187e-04 	2.392433e-04 	5.643638e+06 
19 	142478705.407294 	1.041641e+00 	1.142473e+01 	3.691700e+00 	2.385427e-04 	2.416809e-04 	2.418079e-04 	5.463435e+06 
20 	147768461.311062 	1.031109e+00 	1.140175e+01 	3.668721e+00 	2.410681e-04 	2.442595e-04 	2.443890e-04 	5.289756e+06 
21 	152890802.576965 	1.020685e+00 	1.137894e+01 	3.645906e+00 	2.436093e-04 	2.468546e-04 	2.469867e-04 	5.122341e+06 
22 	157851744.223833 	1.010366e+00 	1.135629e+01 	3.623254e+00 	2.461663e-04 	2.494662e-04 	2.496010e-04 	4.960942e+06 
23 	162657062.824151 	1.000153e+00 	1.133380e+01 	3.600764e+00 	2.487391e-04 	2.520943e-04 	2.522317e-04 	4.805319e+06 
24 	167312306.742118 	9.900437e-01 	1.131147e+01 	3.578434e+00 	2.513278e-04 	2.547389e-04 	2.548790e-04 	4.655244e+06 
25 	171822805.901633 	9.800373e-01 	1.128930e+01 	3.556262e+00 	2.539322e-04 	2.573999e-04 	2.575429e-04 	4.510499e+06 
26 	176193681.107062 	9.701327e-01 	1.126729e+01 	3.534246e+00 	2.565524e-04 	2.600775e-04 	2.602233e-04 	4.370875e+06 
27 	180429852.938531 	9.603289e-01 	1.124543e+01 	3.512386e+00 	2.591884e-04 	2.627716e-04 	2.629202e-04 	4.236172e+06 
28 	184536050.242249 	9.506249e-01 	1.122372e+01 	3.490679e+00 	2.618402e-04 	2.654822e-04 	2.656336e-04 	4.106197e+06 
29 	188516818.235512 	9.410195e-01 	1.120217e+01 	3.469125e+00 	2.645078e-04 	2.682092e-04 	2.683636e-04 	3.980768e+06 
30 	192376526.244794 	9.315119e-01 	1.118077e+01 	3.447720e+00 	2.671911e-04 	2.709528e-04 	2.711101e-04 	3.859708e+06 
31 	196119375.094665 	9.221010e-01 	1.115952e+01 	3.426465e+00 	2.698902e-04 	2.737128e-04 	2.738731e-04 	3.742849e+06 
32 	199749404.164160 	9.127858e-01 	1.113841e+01 	3.405357e+00 	2.726050e-04 	2.764893e-04 	2.766527e-04 	3.630029e+06 
33 	203270498.126531 	9.035653e-01 	1.111745e+01 	3.384396e+00 	2.753355e-04 	2.792822e-04 	2.794488e-04 	3.521094e+06 
34 	206686393.387425 	8.944386e-01 	1.109664e+01 	3.363579e+00 	2.780817e-04 	2.820917e-04 	2.822613e-04 	3.415895e+06 
35 	210000684.235820 	8.854047e-01 	1.107597e+01 	3.342905e+00 	2.808437e-04 	2.849176e-04 	2.850904e-04 	3.314291e+06 
36 	213216828.721327 	8.764626e-01 	1.105544e+01 	3.322373e+00 	2.836214e-04 	2.877599e-04 	2.879360e-04 	3.216144e+06 
37 	216338154.270777 	8.676115e-01 	1.103505e+01 	3.301981e+00 	2.864147e-04 	2.906187e-04 	2.907981e-04 	3.121326e+06 
38 	219367863.056386 	8.588503e-01 	1.101480e+01 	3.281728e+00 	2.892238e-04 	2.934940e-04 	2.936767e-04 	3.029709e+06 
39 	222309037.127160 	8.501781e-01 	1.099468e+01 	3.261613e+00 	2.920485e-04 	2.963857e-04 	2.965718e-04 	2.941174e+06 
40 	225164643.314621 	8.415941e-01 	1.097471e+01 	3.241634e+00 	2.948889e-04 	2.992938e-04 	2.994834e-04 	2.855606e+06 
41 	227937537.923451 	8.330973e-01 	1.095486e+01 	3.221789e+00 	2.977449e-04 	3.022184e-04 	3.024114e-04 	2.772895e+06 
42 	230630471.217010 	8.246868e-01 	1.093515e+01 	3.202079e+00 	3.006165e-04 	3.051593e-04 	3.053559e-04 	2.692933e+06 
43 	233246091.707315 	8.163618e-01 	1.091558e+01 	3.182500e+00 	3.035038e-04 	3.081167e-04 	3.083169e-04 	2.615620e+06 
44 	235786950.258537 	8.081213e-01 	1.089613e+01 	3.163052e+00 	3.064067e-04 	3.110906e-04 	3.112944e-04 	2.540859e+06 
45 	238255504.012602 	7.999646e-01 	1.087682e+01 	3.143734e+00 	3.093252e-04 	3.140808e-04 	3.142883e-04 	2.468554e+06 
46 	240654120.145153 	7.918906e-01 	1.085763e+01 	3.124545e+00 	3.122592e-04 	3.170874e-04 	3.172987e-04 	2.398616e+06 
47 	242985079.459639 	7.838987e-01 	1.083857e+01 	3.105482e+00 	3.152089e-04 	3.201104e-04 	3.203255e-04 	2.330959e+06 
48 	245250579.826955 	7.759880e-01 	1.081964e+01 	3.086546e+00 	3.181741e-04 	3.231498e-04 	3.233687e-04 	2.265500e+06 
49 	247452739.477723 	7.681576e-01 	1.080083e+01 	3.067734e+00 	3.211549e-04 	3.262056e-04 	3.264284e-04 	2.202160e+06 
50 	249593600.153908 	7.604066e-01 	1.078214e+01 	3.049045e+00 	3.241512e-04 	3.292777e-04 	3.295044e-04 	2.140861e+06 
51 	251675130.126185 	7.527344e-01 	1.076358e+01 	3.030478e+00 	3.271630e-04 	3.323662e-04 	3.325969e-04 	2.081530e+06 
52 	253699227.083151 	7.451400e-01 	1.074513e+01 	3.012033e+00 	3.301903e-04 	3.354710e-04 	3.357059e-04 	2.024097e+06 
53 	255667720.898161 	7.376227e-01 	1.072681e+01 	2.993707e+00 	3.332332e-04 	3.385922e-04 	3.388312e-04 	1.968494e+06 
54 	257582376.279334 	7.301818e-01 	1.070861e+01 	2.975501e+00 	3.362915e-04 	3.417298e-04 	3.419729e-04 	1.914655e+06 
55 	259444895.307979 	7.228163e-01 	1.069052e+01 	2.957411e+00 	3.393653e-04 	3.448836e-04 	3.451310e-04 	1.862519e+06 
56 	261256919.870443 	7.155255e-01 	1.067255e+01 	2.939438e+00 	3.424545e-04 	3.480538e-04 	3.483055e-04 	1.812025e+06 
57 	263020033.988158 	7.083088e-01 	1.065469e+01 	2.921580e+00 	3.455592e-04 	3.512403e-04 	3.514963e-04 	1.763114e+06 
58 	264735766.050439 	7.011652e-01 	1.063695e+01 	2.903837e+00 	3.486794e-04 	3.544432e-04 	3.547035e-04 	1.715732e+06 
59 	266405590.954345 	6.940942e-01 	1.061932e+01 	2.886206e+00 	3.518149e-04 	3.576623e-04 	3.579271e-04 	1.669825e+06 
60 	268030932.155745 	6.870948e-01 	1.060181e+01 	2.868687e+00 	3.549659e-04 	3.608977e-04 	3.611671e-04 	1.625341e+06 
61 	269613163.635518 	6.801665e-01 	1.058440e+01 	2.851279e+00 	3.581322e-04 	3.641494e-04 	3.644234e-04 	1.582231e+06 
62 	271153611.784630 	6.733084e-01 	1.056711e+01 	2.833981e+00 	3.613140e-04 	3.674174e-04 	3.676960e-04 	1.540448e+06 
63 	272653557.211666 	6.665198e-01 	1.054992e+01 	2.816792e+00 	3.645111e-04 	3.707017e-04 	3.709849e-04 	1.499945e+06 
64 	274114236.476228 	6.598001e-01 	1.053284e+01 	2.799710e+00 	3.677236e-04 	3.740022e-04 	3.742902e-04 	1.460679e+06 
65 	275536843.751429 	6.531485e-01 	1.051587e+01 	2.782736e+00 	3.709514e-04 	3.773190e-04 	3.776118e-04 	1.422607e+06 
66 	276922532.418600 	6.465644e-01 	1.049900e+01 	2.765866e+00 	3.741945e-04 	3.806520e-04 	3.809497e-04 	1.385689e+06 
67 	278272416.597157 	6.400470e-01 	1.048224e+01 	2.749101e+00 	3.774530e-04 	3.840013e-04 	3.843040e-04 	1.349884e+06 
68 	279587572.612435 	6.335956e-01 	1.046558e+01 	2.732440e+00 	3.807268e-04 	3.873668e-04 	3.876745e-04 	1.315156e+06 
69 	280869040.404206 	6.272097e-01 	1.044903e+01 	2.715882e+00 	3.840158e-04 	3.907485e-04 	3.910613e-04 	1.281468e+06 
70 	282117824.878395 	6.208884e-01 	1.043257e+01 	2.699425e+00 	3.873202e-04 	3.941465e-04 	3.944644e-04 	1.248784e+06 
71 	283334897.204510 	6.146313e-01 	1.041622e+01 	2.683069e+00 	3.906398e-04 	3.975607e-04 	3.978838e-04 	1.217072e+06 
72 	284521196.061043 	6.084375e-01 	1.039997e+01 	2.666813e+00 	3.939747e-04 	4.009911e-04 	4.013195e-04 	1.186299e+06 
73 	285677628.831145 	6.023065e-01 	1.038381e+01 	2.650655e+00 	3.973248e-04 	4.044377e-04 	4.047714e-04 	1.156433e+06 
74 	286805072.750640 	5.962376e-01 	1.036775e+01 	2.634595e+00 	4.006902e-04 	4.079005e-04 	4.082396e-04 	1.127444e+06 
75 	287904376.010456 	5.902301e-01 	1.035179e+01 	2.618632e+00 	4.040707e-04 	4.113795e-04 	4.117241e-04 	1.099303e+06 
76 	288976358.815385 	5.842836e-01 	1.033593e+01 	2.602765e+00 	4.074665e-04 	4.148747e-04 	4.152249e-04 	1.071983e+06 
77 	290021814.401027 	5.783972e-01 	1.032016e+01 	2.586994e+00 	4.108775e-04 	4.183861e-04 	4.187418e-04 	1.045456e+06 
78 	291041510.010699 	5.725705e-01 	1.030449e+01 	2.571316e+00 	4.143037e-04 	4.219137e-04 	4.222751e-04 	1.019696e+06 
79 	292036187.833980 	5.668028e-01 	1.028890e+01 	2.555732e+00 	4.177451e-04 	4.254574e-04 	4.258246e-04 	9.946778e+05 
