i 	 t 	 J_r 	 J_theta 	 J_phi 	 Omega_r 	 Omega_theta 	 Omega_phi 	 dt 
------------
0 	1.000000 	2.409124 	1.563698 	6.027178 	0.001038 	0.001089 	0.001093 	0 
1 	523365.530164 	2.403137e+00 	1.547933e+00 	6.011422e+00 	1.050466e-03 	1.101669e-03 	1.106349e-03 	5.233645e+05 
2 	1031543.046031 	2.397249e+00 	1.532305e+00 	5.995802e+00 	1.062630e-03 	1.114846e-03 	1.119644e-03 	5.081775e+05 
3 	1525080.591154 	2.391460e+00 	1.516836e+00 	5.980342e+00 	1.074845e-03 	1.128088e-03 	1.133004e-03 	4.935375e+05 
4 	2004519.045713 	2.385770e+00 	1.501526e+00 	5.965040e+00 	1.087108e-03 	1.141391e-03 	1.146428e-03 	4.794385e+05 
5 	2470376.737749 	2.380178e+00 	1.486372e+00 	5.949893e+00 	1.099419e-03 	1.154754e-03 	1.159915e-03 	4.658577e+05 
6 	2923150.339467 	2.374682e+00 	1.471373e+00 	5.934901e+00 	1.111777e-03 	1.168177e-03 	1.173463e-03 	4.527736e+05 
7 	3363315.858805 	2.369282e+00 	1.456527e+00 	5.920062e+00 	1.124179e-03 	1.181657e-03 	1.187071e-03 	4.401655e+05 
8 	3791329.583256 	2.363976e+00 	1.441833e+00 	5.905375e+00 	1.136625e-03 	1.195195e-03 	1.200738e-03 	4.280137e+05 
9 	4207628.977284 	2.358764e+00 	1.427288e+00 	5.890836e+00 	1.149113e-03 	1.208787e-03 	1.214463e-03 	4.162994e+05 
10 	4612633.535732 	2.353645e+00 	1.412892e+00 	5.876446e+00 	1.161642e-03 	1.222433e-03 	1.228243e-03 	4.050046e+05 
11 	5006745.595532 	2.348618e+00 	1.398643e+00 	5.862203e+00 	1.174211e-03 	1.236131e-03 	1.242078e-03 	3.941121e+05 
12 	5390351.107858 	2.343682e+00 	1.384540e+00 	5.848105e+00 	1.186818e-03 	1.249880e-03 	1.255966e-03 	3.836055e+05 
13 	5763820.372794 	2.338835e+00 	1.370580e+00 	5.834150e+00 	1.199462e-03 	1.263678e-03 	1.269906e-03 	3.734693e+05 
14 	6127508.738431 	2.334078e+00 	1.356763e+00 	5.820337e+00 	1.212141e-03 	1.277525e-03 	1.283896e-03 	3.636884e+05 
15 	6481757.266235 	2.329408e+00 	1.343086e+00 	5.806665e+00 	1.224854e-03 	1.291418e-03 	1.297934e-03 	3.542485e+05 
16 	6826893.364415 	2.324826e+00 	1.329549e+00 	5.793132e+00 	1.237599e-03 	1.305356e-03 	1.312021e-03 	3.451361e+05 
17 	7163231.390925 	2.320330e+00 	1.316151e+00 	5.779736e+00 	1.250376e-03 	1.319337e-03 	1.326153e-03 	3.363380e+05 
18 	7491073.227654 	2.315919e+00 	1.302888e+00 	5.766477e+00 	1.263182e-03 	1.333361e-03 	1.340329e-03 	3.278418e+05 
19 	7810708.827265 	2.311593e+00 	1.289761e+00 	5.753352e+00 	1.276016e-03 	1.347425e-03 	1.354548e-03 	3.196356e+05 
20 	8122416.734078 	2.307350e+00 	1.276768e+00 	5.740361e+00 	1.288878e-03 	1.361528e-03 	1.368809e-03 	3.117079e+05 
